Player,PLayerID,"concat('https://baseballsavant.mlb.com/player?player_id=',PlayerID,'&pos=',Po,'&player_type=batter&season=2017&tab=zone_chart_tab#')"
"Candelario, J",600869,https://baseballsavant.mlb.com/player?player_id=600869&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Contreras, W",575929,https://baseballsavant.mlb.com/player?player_id=575929&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Crawford, B",543063,https://baseballsavant.mlb.com/player?player_id=543063&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Merrifield, W",593160,https://baseballsavant.mlb.com/player?player_id=593160&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Rosario, E",592696,https://baseballsavant.mlb.com/player?player_id=592696&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Bour, J",571506,https://baseballsavant.mlb.com/player?player_id=571506&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Puig, Y",624577,https://baseballsavant.mlb.com/player?player_id=624577&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Arcia, O",606115,https://baseballsavant.mlb.com/player?player_id=606115&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Braun, R",460075,https://baseballsavant.mlb.com/player?player_id=460075&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Castillo, W",456078,https://baseballsavant.mlb.com/player?player_id=456078&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Martin, L",547982,https://baseballsavant.mlb.com/player?player_id=547982&pos=OF&player_type=batter&season=2017&tab=zone_chart_tab#
"Moncada, Y",660162,https://baseballsavant.mlb.com/player?player_id=660162&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Sano, M",593934,https://baseballsavant.mlb.com/player?player_id=593934&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Span, D",452655,https://baseballsavant.mlb.com/player?player_id=452655&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Beckham, T",542921,https://baseballsavant.mlb.com/player?player_id=542921&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Piscotty, S",572039,https://baseballsavant.mlb.com/player?player_id=572039&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Albies, O",645277,https://baseballsavant.mlb.com/player?player_id=645277&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Mahtook, M",543484,https://baseballsavant.mlb.com/player?player_id=543484&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Moran, C",592567,https://baseballsavant.mlb.com/player?player_id=592567&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Ramos, W",467092,https://baseballsavant.mlb.com/player?player_id=467092&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Santana, C",467793,https://baseballsavant.mlb.com/player?player_id=467793&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Taylor, M",572191,https://baseballsavant.mlb.com/player?player_id=572191&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Zimmerman, R",475582,https://baseballsavant.mlb.com/player?player_id=475582&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Benintendi, A",643217,https://baseballsavant.mlb.com/player?player_id=643217&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Kipnis, J",543401,https://baseballsavant.mlb.com/player?player_id=543401&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Duvall, A",594807,https://baseballsavant.mlb.com/player?player_id=594807&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Mercer, J",474568,https://baseballsavant.mlb.com/player?player_id=474568&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Lindor, F",596019,https://baseballsavant.mlb.com/player?player_id=596019&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Mancini, T",641820,https://baseballsavant.mlb.com/player?player_id=641820&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Odor, R",596059,https://baseballsavant.mlb.com/player?player_id=596059&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Story, T",596115,https://baseballsavant.mlb.com/player?player_id=596115&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Gordon, A",460086,https://baseballsavant.mlb.com/player?player_id=460086&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Jackson, A",457706,https://baseballsavant.mlb.com/player?player_id=457706&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Fowler, D",451594,https://baseballsavant.mlb.com/player?player_id=451594&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Rizzo, A",519203,https://baseballsavant.mlb.com/player?player_id=519203&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Happ, I",664023,https://baseballsavant.mlb.com/player?player_id=664023&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Bradley Jr., J",598265,https://baseballsavant.mlb.com/player?player_id=598265&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Baez, J",595879,https://baseballsavant.mlb.com/player?player_id=595879&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Gomez, C",460576,https://baseballsavant.mlb.com/player?player_id=460576&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Chirinos, R",455139,https://baseballsavant.mlb.com/player?player_id=455139&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Grichuk, R",545341,https://baseballsavant.mlb.com/player?player_id=545341&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Wallach, C",595453,https://baseballsavant.mlb.com/player?player_id=595453&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Margot, M",622534,https://baseballsavant.mlb.com/player?player_id=622534&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
