"RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
5.3454,"Max Muncy","LAD","CI",9,1,0,3,0.75,0.8125,0.75,0.8125
8.67553333333333,"Matt Kemp","LAD","LF",3,1,0,1,0.4,0.62962962962963,0.814814814814815,0.788235294117647
3.35456666666667,"Chase Utley","LAD","2B",0,0.882352941176471,0,0,0,0.782608695652174,0.818181818181818,0.895238095238095
9.78066666666666,"Cody Bellinger","LAD","1B",15,1.05882352941176,1,1,0.5,0.878787878787879,0.75,0.819672131147541
6.30063333333333,"Austin Barnes","LAD","UT",10,0.1875,0,1,0,0.375,0.272727272727273,0.511627906976744
3.86766666666667,"Enrique Hernandez","LAD","UT",3,0.384615384615385,0,2,0.4,0.5625,0.411764705882353,0.595744680851064
5.8095,"Joc Pederson","LAD","OF",6,0.8125,1,0,0.5,0.818181818181818,0.923076923076923,0.764705882352941
12.2639666666667,"Chris Taylor","LAD","CF",13,1.11764705882353,3,3,0.666666666666667,0.666666666666667,0.642857142857143,0.739130434782609
9.60643333333334,"Whit Merrifield","KCR","2B",3,1.06666666666667,8,0,0.2,0.514285714285714,0.5,0.696356275303644
5.8237,"Mike Moustakas","KCR","3B",0,0.9375,2,2,0.454545454545455,0.6,0.684210526315789,0.729257641921397
9.44063333333333,"Salvador Perez","KCR","C",0,1.1875,1,4,0.6,0.75,0.722222222222222,0.788819875776398
9.81096666666667,"Alex Gordon","KCR","LF",0,1.4,1,3,0.25,0.692307692307692,0.785714285714286,0.789855072463768
3.17846666666667,"Abraham Almonte","KCR","CF",0,0.555555555555556,0,1,0.4,0.722222222222222,0.625,0.8
8.11516666666666,"Jon Jay","KCR","LF",16,1.35714285714286,0,0,0,0.5,0.333333333333333,0.689024390243902
11.0738666666667,"Lucas Duda","KCR","1B",3,0.9375,0,1,0.5,0.7,0.753424657534247,0.785425101214575
11.2360333333333,"Jorge Soler","KCR","RF",15,1.375,1,3,0.333333333333333,0.564102564102564,0.444444444444444,0.616666666666667
5.5673,"Alcides Escobar","KCR","SS",0,0.9375,1,0,0.333333333333333,0.548387096774194,0.7,0.760765550239234
5.34936666666666,"Hernan Perez","MIL","UT",3,1.11111111111111,1,1,0,0.111111111111111,0.210526315789474,0.265734265734266
7.38963333333333,"Christian Yelich","MIL","LF",0,1.27272727272727,2,1,0,0.142857142857143,0.208333333333333,0.188679245283019
7.32873333333333,"Jesus Aguilar","MIL","1B",3,0.777777777777778,0,1,0,0.25,0.4,0.38
7.23933333333333,"Lorenzo Cain","MIL","CF",3,0.909090909090909,2,2,0.4,0.192307692307692,0.238095238095238,0.207317073170732
3.52653333333333,"Orlando Arcia","MIL","SS",0,0.818181818181818,2,0,0.25,0.15,0.136363636363636,0.215469613259669
5.65603333333333,"Ryan Braun","MIL","LF",2,0.545454545454545,1,0,0.25,0.173913043478261,0.217391304347826,0.216216216216216
2.16353333333333,"Jett Bandy","MIL","C",2,0.5,0,0,0,0.181818181818182,0,0.0816326530612245
7.18916666666667,"Domingo Santana","MIL","RF",3,0.888888888888889,0,1,0,0.111111111111111,0.138888888888889,0.212765957446809
4.09173333333333,"Mike Zunino","SEA","C",3,0.666666666666667,0,3,0.714285714285714,0.692307692307692,0.516129032258065,0.536363636363636
5.73713333333333,"Mike Zunino","SEA","C",3,0.666666666666667,0,3,0.714285714285714,0.692307692307692,0.516129032258065,0.536363636363636
3.7183,"Mike Zunino","SEA","C",3,0.666666666666667,0,3,0.714285714285714,0.692307692307692,0.516129032258065,0.536363636363636
5.25286666666667,"Mike Zunino","SEA","C",3,0.666666666666667,0,3,0.714285714285714,0.692307692307692,0.516129032258065,0.536363636363636
8.36236666666667,"Jean Segura","SEA","SS",0,1.54545454545455,1,1,0.666666666666667,0.382352941176471,0.285714285714286,0.401913875598086
15.8940666666667,"Jean Segura","SEA","SS",0,1.54545454545455,1,1,0.666666666666667,0.382352941176471,0.285714285714286,0.401913875598086
9.14043333333333,"Jean Segura","SEA","SS",0,1.54545454545455,1,1,0.666666666666667,0.382352941176471,0.285714285714286,0.401913875598086
14.9384333333333,"Jean Segura","SEA","SS",0,1.54545454545455,1,1,0.666666666666667,0.382352941176471,0.285714285714286,0.401913875598086
5.08586666666667,"Ben Gamel","SEA","LF",0,0.75,0,0,0,0.5,0.428571428571429,0.44375
5.00033333333334,"Ben Gamel","SEA","LF",0,0.75,0,0,0,0.5,0.428571428571429,0.44375
4.05793333333333,"Ben Gamel","SEA","LF",2,0.75,0,0,0,0.5,0.428571428571429,0.44375
3.19576666666667,"Ben Gamel","SEA","LF",2,0.75,0,0,0,0.5,0.428571428571429,0.44375
5.3881,"Ben Gamel","SEA","LF",0,0.75,0,0,0,0.5,0.428571428571429,0.44375
5.43776666666666,"Ben Gamel","SEA","LF",0,0.75,0,0,0,0.5,0.428571428571429,0.44375
4.16433333333333,"Ben Gamel","SEA","LF",2,0.75,0,0,0,0.5,0.428571428571429,0.44375
2.88683333333333,"Ben Gamel","SEA","LF",2,0.75,0,0,0,0.5,0.428571428571429,0.44375
4.29993333333333,"David Freitas","SEA","C",4,0,0,0,0,0.4,0,0.764705882352941
4.13416666666667,"David Freitas","SEA","C",4,0,0,0,0,0.4,0,0.764705882352941
4.21803333333333,"David Freitas","SEA","C",4,0,0,0,0,0.4,0,0.764705882352941
4.17593333333333,"David Freitas","SEA","C",4,0,0,0,0,0.4,0,0.764705882352941
3.91083333333333,"Andrew Romine","SEA","UT",0,1,0,0,0,0.6,0.4,0.444444444444444
4.27153333333334,"Andrew Romine","SEA","UT",0,1,0,0,0,0.6,0.4,0.444444444444444
3.86106666666667,"Andrew Romine","SEA","UT",8,1,0,0,0,0.6,0.4,0.444444444444444
4.4755,"Andrew Romine","SEA","UT",8,1,0,0,0,0.6,0.4,0.444444444444444
4.18576666666667,"Andrew Romine","SEA","UT",0,1,0,0,0,0.6,0.4,0.444444444444444
4.09666666666667,"Andrew Romine","SEA","UT",0,1,0,0,0,0.6,0.4,0.444444444444444
4.01903333333333,"Andrew Romine","SEA","UT",8,1,0,0,0,0.6,0.4,0.444444444444444
4.1888,"Andrew Romine","SEA","UT",8,1,0,0,0,0.6,0.4,0.444444444444444
3.9985,"Andrew Romine","SEA","UT",0,1,0,0,0,0.6,0.4,0.444444444444444
3.76746666666667,"Andrew Romine","SEA","UT",0,1,0,0,0,0.6,0.4,0.444444444444444
3.81106666666667,"Andrew Romine","SEA","UT",8,1,0,0,0,0.6,0.4,0.444444444444444
3.95876666666667,"Andrew Romine","SEA","UT",8,1,0,0,0,0.6,0.4,0.444444444444444
4.17293333333333,"Andrew Romine","SEA","UT",0,1,0,0,0,0.6,0.4,0.444444444444444
3.73956666666666,"Andrew Romine","SEA","UT",0,1,0,0,0,0.6,0.4,0.444444444444444
3.7272,"Andrew Romine","SEA","UT",8,1,0,0,0,0.6,0.4,0.444444444444444
3.5607,"Andrew Romine","SEA","UT",8,1,0,0,0,0.6,0.4,0.444444444444444
5.0217,"Ben Gamel","SEA","LF",0,0.75,0,0,0,0.5,0.428571428571429,0.44375
4.8418,"Ben Gamel","SEA","LF",0,0.75,0,0,0,0.5,0.428571428571429,0.44375
3.70333333333333,"Ben Gamel","SEA","LF",2,0.75,0,0,0,0.5,0.428571428571429,0.44375
2.85916666666667,"Ben Gamel","SEA","LF",2,0.75,0,0,0,0.5,0.428571428571429,0.44375
5.43146666666666,"Ben Gamel","SEA","LF",0,0.75,0,0,0,0.5,0.428571428571429,0.44375
5.16736666666667,"Ben Gamel","SEA","LF",0,0.75,0,0,0,0.5,0.428571428571429,0.44375
3.64356666666667,"Ben Gamel","SEA","LF",2,0.75,0,0,0,0.5,0.428571428571429,0.44375
3.16403333333333,"Ben Gamel","SEA","LF",2,0.75,0,0,0,0.5,0.428571428571429,0.44375
5.99886666666667,"Jurickson Profar","TEX","SS",9,0.846153846153846,0,2,0.333333333333333,0.636363636363636,0.333333333333333,0.722222222222222
7.7606,"Joey Gallo","TEX","LF",0,0.5,0,4,0.6,0.8,0.807017543859649,0.815384615384615
2.9439,"Ronald Guzman","TEX","1B",15,0.4,0,0,0,0.8,0,0.8
5.17563333333333,"Robinson Chirinos","TEX","C",0,0.777777777777778,0,3,0.571428571428571,0.5,0.666666666666667,0.663157894736842
7.99333333333333,"ShinSoo Choo","TEX","DH",0,1.08333333333333,0,0,0.666666666666667,0.625,0.827586206896552,0.712041884816754
9.7902,"Nomar Mazara","TEX","RF",0,1.23076923076923,0,7,0.5,0.7,0.67741935483871,0.775510204081633
10.9931666666667,"Delino DeShields","TEX","CF",6,1.38461538461538,5,2,0.333333333333333,0.608695652173913,0.222222222222222,0.617647058823529
4.36443333333333,"Rougned Odor","TEX","2B",0,0,0,0,0,0,0.766666666666667,0.735714285714286
6.8202,"Adrian Beltre","TEX","3B",0,1.33333333333333,0,0,0.5,0.764705882352941,0.55,0.692307692307692
8.62153333333333,"Jose Ramirez","CLE","3B",0,1.46153846153846,4,4,0.666666666666667,0.6,0.74,0.60431654676259
3.43346666666667,"Yan Gomes","CLE","C",2,0.857142857142857,0,0,0.666666666666667,0.5625,0.695652173913043,0.698275862068966
6.61923333333333,"Michael Brantley","CLE","LF",16,1.35714285714286,0,2,0.6,0.6,0.642857142857143,0.689873417721519
6.22076666666667,"Francisco Lindor","CLE","SS",46,1.85714285714286,0,8,0.5,0.512820512820513,0.519230769230769,0.56390977443609
2.75333333333333,"Greg Allen","CLE","OF",0,0,0,0,0,0,0.5,0.666666666666667
6.5009,"Edwin Encarnacion","CLE","DH",3,1.27272727272727,0,3,0.285714285714286,0.44,0.666666666666667,0.653846153846154
3.43243333333333,"Brandon Guyer","CLE","RF",0,0.5,0,1,0,0.111111111111111,0.333333333333333,0.285714285714286
9.78680000000001,"Yonder Alonso","CLE","1B",5,0.642857142857143,0,2,0.625,0.714285714285714,0.835820895522388,0.858064516129032
5.07616666666666,"Jason Kipnis","CLE","2B",2,0.785714285714286,0,1,0,0.428571428571429,0.647058823529412,0.612403100775194
7.8256,"Brian Dozier","MIN","2B",3,0.923076923076923,0,3,0.5,0.8,0.533333333333333,0.663677130044843
6.9878,"Joe Mauer","MIN","1B",6,1,0,1,0.5,0.789473684210526,0.777777777777778,0.778801843317972
3.10066666666667,"Mitch Garver","MIN","C",10,1,0,1,0,0.545454545454545,0,0.318181818181818
7.45073333333333,"Logan Morrison","MIN","DH",6,0.916666666666667,0,2,0.8,0.833333333333333,0.666666666666667,0.762820512820513
10.6611666666667,"Eddie Rosario","MIN","LF",10,1.61538461538462,2,6,0.666666666666667,0.78125,0.794871794871795,0.737556561085973
10.0632,"Max Kepler","MIN","RF",0,0.769230769230769,0,1,0.666666666666667,0.916666666666667,0.76,0.86046511627907
6.25546666666667,"Eduardo Escobar","MIN","3B",6,1.15384615384615,0,4,0.714285714285714,0.875,0.655172413793103,0.684210526315789
5.22276666666667,"Byron Buxton","MIN","CF",8,0,0,0,0,0,0.666666666666667,0.647887323943662
4.78466666666667,"Ehire Adrianza","MIN","SS",5,0.636363636363636,2,0,0,0.636363636363636,0.333333333333333,0.626865671641791
8.40723333333334,"Adam Duvall","CIN","LF",8,0.461538461538462,1,3,0.6,0.611111111111111,0.75,0.785310734463277
