"RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit","SplitsGood","Splits30Good","Date"
6.97413333333334,"Michael Conforto","NYM","CF",0,1.11111111111111,0,2,0.5,0.722222222222222,0.806451612903226,0.825174825174825,1,0,"2018-05-24"
0.8168,"Tomas Nido","NYM","C",0,0.5,0,0,0,0.2,0,0.363636363636364,0,0,"2018-05-24"
1.19803333333333,"Jose Lobaton","NYM","C",0,0,0,0,0,0.5,0.8,0.594594594594595,1,0,"2018-05-24"
1.37553333333333,"Devin Mesoraco","NYM","C",0,0.625,0,6,0.285714285714286,0.421052631578947,0.666666666666667,0.724137931034483,1,0,"2018-05-24"
1.3007,"Luis Guillorme","NYM","IF",0,0.444444444444444,0,0,0,0.2,0,0.2,0,0,"2018-05-24"
4.17286666666667,"Jose Bautista","NYM","LF",0,0.333333333333333,0,4,0.4,0.615384615384615,0.8125,0.741258741258741,1,0,"2018-05-24"
3.85556666666667,"Manny Pina","MIL","C",0,1.22222222222222,0,1,0.5,0.705882352941177,0.8125,0.634920634920635,1,0,"2018-05-24"
5.9105,"Jesus Aguilar","MIL","1B",0,1.16666666666667,0,5,0.857142857142857,0.80952380952381,0.6,0.625,1,1,"2018-05-24"
4.38256666666667,"Jonathan Villar","MIL","2B",0,1,2,1,0,0.611111111111111,0.785714285714286,0.727272727272727,1,0,"2018-05-24"
5.15373333333333,"Orlando Arcia","MIL","SS",0,0.454545454545455,1,0,0,0.846153846153846,0.818181818181818,0.770491803278688,1,0,"2018-05-24"
7.50626666666667,"Travis Shaw","MIL","3B",0,1.07692307692308,0,5,0.75,0.842105263157895,0.770833333333333,0.734299516908213,1,1,"2018-05-24"
6.12726666666666,"Christian Yelich","MIL","LF",0,1,2,2,0.5,0.777777777777778,0.653846153846154,0.789237668161435,1,0,"2018-05-24"
7.9682,"Lorenzo Cain","MIL","CF",0,1.18181818181818,2,2,0.5,0.714285714285714,0.727272727272727,0.744094488188976,1,0,"2018-05-24"
6.9061,"Domingo Santana","MIL","RF",0,0.75,0,2,0.5,0.80952380952381,0.815789473684211,0.776649746192893,1,0,"2018-05-24"
8.08773333333333,"Ryan Braun","MIL","LF",0,0.25,0,0,0,0.833333333333333,0.739130434782609,0.777027027027027,1,0,"2018-05-24"
5.78386666666666,"Hernan Perez","MIL","UT",0,1.11111111111111,0,0,0.5,0.8125,0.736842105263158,0.695945945945946,1,0,"2018-05-24"
3.73763333333333,"Eric Thames","MIL","1B",0,NA,0,0,0,0,0.731707317073171,0.809859154929577,1,0,"2018-05-24"
2.92803333333333,"Eric Sogard","MIL","MI",0,NA,0,0,0,0,0.666666666666667,0.777777777777778,1,0,"2018-05-24"
6.03573333333333,"JiMan Choi","MIL","UT",0,0.6,0,0,0,0.5,0,0.545454545454545,0,0,"2018-05-24"
3.2112,"Jett Bandy","MIL","C",0,0.4,0,0,0,0.8,0.888888888888889,0.882352941176471,1,0,"2018-05-24"
3.2211,"Brett Phillips","MIL","OF",0,0,0,0,0,0.5,0.833333333333333,0.833333333333333,1,0,"2018-05-24"
1.548,"Jacob Nottingham","MIL","C",0,NA,0,0,0,0,0,0,0,0,"2018-05-24"
5.2701,"Nick Franklin","MIL","2B",0,NA,0,0,0,0,0.666666666666667,0.717948717948718,1,0,"2018-05-24"
11.4783666666667,"Tyler Saladino","MIL","MI",0,1,0,6,0.285714285714286,0.736842105263158,0.285714285714286,0.693333333333333,0,0,"2018-05-24"
