,RFPred,Name,HTeam,Pos
59104,6.792777778,Anthony Rizzo,CHC,1B
591632,6.758944444,Dixon Machado,DET,2B
590751,6.746055556,Sean Rodriguez,PIT,UT
59228,6.702333333,Miguel Andujar,NYY,3B
59142,6.622333333,Mikie Mahtook,DET,LF
59036,6.592777778,Daniel Vogelbach,SEA,UT
59131,6.570666667,Luis Valbuena,LAA,3B
59099,6.553277778,Albert Almora,CHC,CF
591671,6.474,Victor Reyes,DET,UT
59148,6.4505,Leonys Martin,DET,CF
59075,6.409277778,Sean Rodriguez,PIT,UT
59013,6.397944444,Garrett Cooper,MIA,UT
590553,6.385444444,Jordy Mercer,PIT,SS
59057,6.367277778,David Freese,PIT,CI
59144,6.321166667,Mikie Mahtook,DET,LF
59098,6.294444444,Addison Russell,CHC,SS
59206,6.293388889,Jackie Bradley,BOS,CF
591423,6.259222222,Mikie Mahtook,DET,LF
59017,6.250111111,Brian Anderson,MIA,3B
59087,6.143333333,Austin Jackson,SFG,CF
59097,6.1075,Jason Heyward,CHC,RF
591481,6.100833333,Leonys Martin,DET,CF
590571,6.065555556,David Freese,PIT,CI
59041,6.051833333,Jordy Mercer,PIT,SS
59167,6.028055556,Victor Reyes,DET,UT
59125,6.024666667,Aledmys Diaz,TOR,SS
59115,5.994611111,Kolten Wong,STL,2B
591443,5.990944444,Mikie Mahtook,DET,LF
591422,5.975111111,Mikie Mahtook,DET,LF
59114,5.968944444,Yadier Molina,STL,C
58993,5.968722222,Byron Buxton,MIN,CF
59077,5.906111111,Rougned Odor,TEX,UT
59189,5.873444444,Yasmani Grandal,LAD,C
591442,5.837777778,Mikie Mahtook,DET,LF
591421,5.765444444,Mikie Mahtook,DET,LF
591433,5.728555556,Mikie Mahtook,DET,LF
59184,5.707555556,Enrique Hernandez,LAD,UT
59004,5.696611111,Brad Miller,TBR,1B
59012,5.678888889,Tomas Telis,MIA,UT
591441,5.637388889,Mikie Mahtook,DET,LF
59239,5.605222222,Devin Mesoraco,CIN,C
59196,5.528111111,Adrian Gonzalez,NYM,1B
59195,5.514333333,Amed Rosario,NYM,SS
59028,5.503611111,Michael Taylor,WSN,CF
59055,5.496611111,Jordy Mercer,PIT,SS
591701,5.389055556,Dixon Machado,DET,2B
